month	prcp	t2m	u10m	v10m
1	-0.356	-0.115	-0.097	-0.127
2	-0.350	-0.110	-0.096	-0.128
3	-0.291	-0.112	-0.090	-0.125
4	-0.242	-0.112	-0.088	-0.130
5	-0.331	-0.096	-0.092	-0.115
6	-0.452	-0.090	-0.087	-0.114
7	-0.550	-0.087	-0.093	-0.134
8	-0.488	-0.081	-0.094	-0.130
9	-0.457	-0.086	-0.092	-0.124
10	-0.417	-0.087	-0.094	-0.130
11	-0.357	-0.111	-0.095	-0.128
12	-0.393	-0.132	-0.098	-0.125
