month	prcp	t2m	u10m	v10m
1	0.006	-0.039	-0.013	-0.026
2	0.006	-0.033	-0.010	-0.024
3	0.026	-0.034	-0.002	-0.018
4	0.032	-0.034	-0.002	-0.023
5	0.047	-0.016	-0.002	-0.003
6	0.090	-0.006	0.006	0.006
7	0.104	-0.003	0.005	-0.013
8	0.150	0.001	0.001	-0.010
9	0.096	-0.006	0.001	-0.007
10	0.056	-0.013	-0.008	-0.024
11	0.013	-0.038	-0.009	-0.026
12	-0.007	-0.056	-0.012	-0.022
