month	prcp	t2m	u10m	v10m
1	-0.046	0.001	0.001	0.001
2	-0.038	0.000	0.001	0.002
3	-0.016	0.000	0.001	0.002
4	-0.019	0.001	0.001	0.003
5	-0.005	0.000	0.000	-0.000
6	-0.004	0.000	-0.003	0.002
7	-0.015	-0.000	-0.003	0.001
8	-0.017	-0.000	-0.001	0.002
9	-0.021	0.000	-0.001	0.002
10	-0.032	0.001	0.001	0.001
11	-0.042	0.001	0.001	0.001
12	-0.030	0.001	0.001	0.001
