month	prcp	t2m	u10m	v10m
1	0.045	-0.050	-0.015	-0.026
2	0.031	-0.042	-0.011	-0.024
3	0.029	-0.048	-0.002	-0.020
4	0.023	-0.050	-0.002	-0.024
5	0.020	-0.024	-0.004	0.003
6	0.055	-0.014	0.008	0.013
7	0.068	-0.009	0.007	-0.009
8	0.127	-0.005	0.002	-0.008
9	0.073	-0.012	0.003	-0.009
10	0.091	-0.021	-0.011	-0.024
11	0.027	-0.050	-0.010	-0.026
12	0.031	-0.062	-0.016	-0.024
