metric	prcp	t2m	u10m	v10m
RMSE	0.052	-0.032	-0.004	-0.015
MAE	0.052	-0.023	-0.004	-0.016
CORR	-0.024	0.000	-0.000	0.001
CRPS	-0.391	-0.102	-0.093	-0.126
STD_DEV	1.238	0.178	0.194	0.246
