month	prcp	t2m	u10m	v10m
1	3.19	0.57	0.70	0.83
2	2.87	0.56	0.73	0.86
3	2.93	0.57	0.81	0.95
4	3.88	0.56	0.84	1.00
5	6.48	0.59	0.94	1.21
6	11.46	0.62	1.11	1.38
7	12.50	0.61	1.21	1.43
8	12.64	0.59	1.17	1.37
9	8.37	0.54	1.06	1.34
10	7.91	0.51	0.91	1.11
11	4.84	0.53	0.84	0.93
12	4.51	0.65	0.78	0.85
