month	prcp	t2m	u10m	v10m
1	0.45	0.99	0.95	0.95
2	0.41	0.99	0.94	0.94
3	0.26	0.99	0.92	0.92
4	0.18	0.98	0.90	0.90
5	0.18	0.98	0.87	0.87
6	0.18	0.98	0.81	0.82
7	0.27	0.97	0.84	0.85
8	0.27	0.97	0.84	0.84
9	0.21	0.99	0.84	0.80
10	0.27	0.99	0.93	0.94
11	0.35	0.99	0.93	0.95
12	0.41	0.99	0.94	0.96
