month	prcp	t2m	u10m	v10m
1	5.68	0.71	0.93	1.09
2	5.36	0.71	0.99	1.14
3	5.53	0.74	1.07	1.25
4	7.68	0.73	1.10	1.31
5	13.79	0.75	1.23	1.59
6	22.51	0.79	1.46	1.83
7	24.17	0.80	1.57	1.87
8	25.10	0.76	1.54	1.78
9	18.29	0.68	1.41	1.76
10	15.89	0.66	1.20	1.46
11	9.98	0.69	1.12	1.21
12	8.54	0.78	1.03	1.11
