metric	prcp	t2m	u10m	v10m
RMSE	13.60	0.73	1.22	1.45
MAE	6.83	0.58	0.93	1.11
CORR	0.29	0.98	0.89	0.89
CRPS	6.83	0.58	0.93	1.11
STD_DEV	0.00	0.00	0.00	0.00
