month	prcp	t2m	u10m	v10m
1	2.83	0.45	0.61	0.70
2	2.52	0.46	0.64	0.74
3	2.64	0.46	0.72	0.83
4	3.64	0.45	0.75	0.87
5	6.15	0.49	0.85	1.10
6	11.01	0.53	1.02	1.27
7	11.95	0.52	1.12	1.30
8	12.15	0.51	1.07	1.24
9	7.91	0.45	0.97	1.22
10	7.49	0.42	0.82	0.98
11	4.48	0.42	0.75	0.80
12	4.11	0.52	0.68	0.72
