month	prcp	t2m	u10m	v10m
1	5.73	0.66	0.92	1.06
2	5.40	0.67	0.98	1.12
3	5.56	0.69	1.07	1.23
4	7.71	0.68	1.10	1.28
5	13.81	0.72	1.22	1.59
6	22.56	0.78	1.47	1.84
7	24.24	0.79	1.58	1.86
8	25.23	0.76	1.54	1.77
9	18.36	0.67	1.41	1.75
10	15.99	0.64	1.19	1.43
11	10.00	0.64	1.11	1.18
12	8.58	0.72	1.02	1.08
