month	prcp	t2m	u10m	v10m
1	0.40	0.99	0.96	0.95
2	0.37	0.99	0.94	0.94
3	0.25	0.99	0.93	0.92
4	0.16	0.98	0.91	0.90
5	0.17	0.98	0.87	0.87
6	0.18	0.98	0.81	0.82
7	0.25	0.97	0.83	0.85
8	0.25	0.97	0.84	0.84
9	0.19	0.99	0.84	0.80
10	0.24	0.99	0.93	0.94
11	0.31	0.99	0.93	0.95
12	0.38	0.99	0.94	0.96
